Station code,Measurement date,NO2,O3,CO,SO2,PM10,PM2.5
106,2025-12-15 09:00:00,36.0,3.6,8.5,3.5,24,76
120,2025-12-15 09:00:00,33.5,2.9,8.8,2.9,30,72
121,2025-12-15 09:00:00,35.7,2.7,8.2,3.8,30,70
111,2025-12-15 09:00:00,33.3,3.0,10.0,4.6,27,70
101,2025-12-15 09:00:00,37.4,3.5,7.8,3.8,24,70
102,2025-12-15 09:00:00,34.2,6.5,7.4,3.2,25,72
105,2025-12-15 09:00:00,33.1,5.5,9.7,4.0,24,74
107,2025-12-15 09:00:00,33.6,2.2,8.0,3.2,25,65
119,2025-12-15 09:00:00,35.5,2.8,7.4,3.6,25,70
122,2025-12-15 09:00:00,33.8,1.6,6.9,3.5,27,74
112,2025-12-15 09:00:00,25.8,8.5,6.8,2.3,24,53
109,2025-12-15 09:00:00,28.7,4.4,5.9,2.8,22,59
113,2025-12-15 09:00:00,32.1,3.4,11.0,3.6,26,76
119,2025-12-15 08:00:00,36.6,1.7,7.4,3.2,24,70
112,2025-12-15 08:00:00,15.0,11.0,5.5,2.0,19,50
106,2025-12-15 08:00:00,37.0,1.5,7.3,2.9,21,70
107,2025-12-15 08:00:00,32.5,1.5,6.8,2.9,22,63
109,2025-12-15 08:00:00,29.7,3.2,5.7,1.6,20,61
111,2025-12-15 08:00:00,31.9,1.5,10.9,4.3,27,82
113,2025-12-15 08:00:00,32.3,2.2,11.9,3.8,21,80
105,2025-12-15 08:00:00,36.3,3.5,9.2,4.5,21,80
102,2025-12-15 08:00:00,32.5,5.9,6.5,3.2,25,70
120,2025-12-15 08:00:00,35.8,1.8,7.4,3.3,27,72
101,2025-12-15 08:00:00,35.9,2.0,6.8,2.8,22,68
122,2025-12-15 08:00:00,34.7,0.8,6.4,3.5,30,76
121,2025-12-15 08:00:00,36.7,1.1,7.8,3.8,25,68
112,2025-12-15 07:00:00,11.9,13.0,4.6,2.2,23,46
106,2025-12-15 07:00:00,35.0,1.9,6.4,2.9,22,70
111,2025-12-15 07:00:00,30.6,1.4,10.5,4.3,26,80
119,2025-12-15 07:00:00,36.1,1.5,6.6,3.5,27,72
107,2025-12-15 07:00:00,32.3,1.7,5.7,2.6,22,63
113,2025-12-15 07:00:00,29.5,2.1,10.6,3.3,21,78
120,2025-12-15 07:00:00,36.1,1.7,6.7,2.5,28,76
105,2025-12-15 07:00:00,33.9,2.8,10.3,6.5,21,82
121,2025-12-15 07:00:00,35.4,1.2,6.8,3.3,26,70
109,2025-12-15 07:00:00,26.7,4.1,5.7,2.6,21,70
102,2025-12-15 07:00:00,32.6,6.3,6.3,3.3,28,78
101,2025-12-15 07:00:00,34.2,2.1,7.2,3.3,25,80
122,2025-12-15 07:00:00,32.9,0.8,5.9,3.3,26,80
102,2025-12-15 06:00:00,32.5,5.9,6.9,3.0,22,68
106,2025-12-15 06:00:00,35.9,2.2,6.6,2.9,20,65
101,2025-12-15 06:00:00,35.0,1.8,8.2,2.5,22,72
121,2025-12-15 06:00:00,34.5,0.9,6.6,3.5,21,59
112,2025-12-15 06:00:00,12.0,13.6,4.5,1.8,19,53
122,2025-12-15 06:00:00,32.0,0.8,5.8,3.2,26,70
113,2025-12-15 06:00:00,28.0,2.6,9.5,3.3,21,70
120,2025-12-15 06:00:00,35.9,2.1,6.3,2.5,24,68
111,2025-12-15 06:00:00,30.6,1.9,9.6,4.0,20,68
107,2025-12-15 06:00:00,26.3,4.4,5.4,2.3,19,61
109,2025-12-15 06:00:00,28.9,1.4,6.7,2.3,22,68
105,2025-12-15 06:00:00,26.7,7.0,8.8,5.8,21,65
119,2025-12-15 06:00:00,36.6,1.6,7.0,3.0,23,70
102,2025-12-15 05:00:00,33.0,6.1,6.6,3.3,23,72
101,2025-12-15 05:00:00,35.0,1.7,7.8,3.2,26,72
112,2025-12-15 05:00:00,11.3,14.5,4.3,1.9,20,57
107,2025-12-15 05:00:00,22.5,7.4,5.5,2.6,22,63
119,2025-12-15 05:00:00,37.5,2.8,6.3,3.5,25,70
111,2025-12-15 05:00:00,29.9,2.3,9.5,4.0,23,70
122,2025-12-15 05:00:00,31.5,1.0,5.8,3.2,22,70
105,2025-12-15 05:00:00,20.5,11.5,9.0,5.6,21,65
120,2025-12-15 05:00:00,34.8,5.4,5.6,2.8,22,65
109,2025-12-15 05:00:00,27.2,3.2,6.3,2.5,25,70
113,2025-12-15 05:00:00,25.5,5.2,8.9,3.3,24,72
106,2025-12-15 05:00:00,36.3,2.8,6.4,2.5,20,65
121,2025-12-15 05:00:00,28.7,5.8,5.2,2.9,19,55
119,2025-12-15 04:00:00,26.9,12.4,4.7,3.5,20,63
113,2025-12-15 04:00:00,20.8,9.6,8.6,3.3,20,61
101,2025-12-15 04:00:00,36.9,1.7,8.4,3.3,21,68
121,2025-12-15 04:00:00,24.4,9.2,4.4,3.3,17,55
120,2025-12-15 04:00:00,40.3,3.6,6.0,2.8,23,65
111,2025-12-15 04:00:00,31.1,1.8,9.9,4.2,23,74
112,2025-12-15 04:00:00,13.8,11.6,4.8,1.5,19,55
105,2025-12-15 04:00:00,17.5,14.1,8.5,5.6,21,68
109,2025-12-15 04:00:00,24.6,5.3,5.8,1.8,22,68
107,2025-12-15 04:00:00,29.2,2.5,6.5,2.5,22,65
106,2025-12-15 04:00:00,36.7,3.2,6.5,2.6,22,72
122,2025-12-15 04:00:00,30.0,5.0,5.3,3.2,22,70
102,2025-12-15 04:00:00,29.8,8.2,5.6,2.9,20,59
102,2025-12-15 03:00:00,21.7,15.2,4.9,3.0,24,68
121,2025-12-15 03:00:00,25.1,9.0,4.5,2.6,20,59
119,2025-12-15 03:00:00,18.0,19.6,4.3,3.9,21,63
112,2025-12-15 03:00:00,12.1,13.7,4.3,2.6,20,57
105,2025-12-15 03:00:00,18.4,13.6,8.3,5.2,21,68
107,2025-12-15 03:00:00,33.5,2.1,6.7,2.5,20,61
120,2025-12-15 03:00:00,38.3,4.4,5.7,2.8,23,72
101,2025-12-15 03:00:00,32.5,7.7,6.3,3.5,21,70
111,2025-12-15 03:00:00,32.5,1.7,9.8,4.0,24,76
113,2025-12-15 03:00:00,23.2,8.1,9.0,3.2,22,74
109,2025-12-15 03:00:00,32.3,1.6,6.9,2.9,24,72
122,2025-12-15 03:00:00,32.8,4.4,5.6,3.3,22,76
106,2025-12-15 03:00:00,35.9,4.5,6.4,3.5,23,72
121,2025-12-15 02:00:00,24.9,9.9,4.9,3.2,20,57
106,2025-12-15 02:00:00,24.1,13.0,4.9,2.6,23,70
