Station code,Measurement date,NO2,O3,CO,SO2,PM10,PM2.5
101,2025-12-10 10:00:00,32.6,3.5,6.5,4.3,33,76
102,2025-12-10 10:00:00,32.2,7.7,6.3,4.2,37,80
105,2025-12-10 10:00:00,20.2,16.0,5.5,12.8,27,76
106,2025-12-10 10:00:00,35.1,3.8,6.3,4.2,28,65
107,2025-12-10 10:00:00,30.7,3.2,5.9,3.8,34,68
109,2025-12-10 10:00:00,30.6,3.0,5.8,3.3,34,74
111,2025-12-10 10:00:00,26.8,4.1,6.8,4.8,36,78
112,2025-12-10 10:00:00,21.5,8.1,5.2,2.9,35,68
113,2025-12-10 10:00:00,27.0,6.7,6.8,3.8,36,85
119,2025-12-10 10:00:00,36.7,3.1,6.6,4.5,30,68
120,2025-12-10 10:00:00,35.4,5.4,6.0,3.9,35,70
121,2025-12-10 10:00:00,38.7,4.1,6.6,4.2,31,65
122,2025-12-10 10:00:00,34.6,2.2,6.2,3.8,38,87
101,2025-12-10 11:00:00,32.0,5.2,6.4,5.6,35,80
102,2025-12-10 11:00:00,32.6,9.6,6.2,3.9,40,89
105,2025-12-10 11:00:00,21.6,15.8,5.6,11.9,28,68
106,2025-12-10 11:00:00,33.6,5.6,6.5,4.5,35,76
107,2025-12-10 11:00:00,28.8,5.6,5.3,4.2,37,76
109,2025-12-10 11:00:00,27.4,5.3,5.3,4.0,39,78
111,2025-12-10 11:00:00,25.1,6.4,6.5,5.2,39,78
112,2025-12-10 11:00:00,20.0,11.1,4.4,3.6,37,70
113,2025-12-10 11:00:00,23.7,10.5,6.4,4.2,37,78
119,2025-12-10 11:00:00,36.3,4.3,6.6,4.6,33,80
120,2025-12-10 11:00:00,32.6,7.4,5.4,4.5,40,76
121,2025-12-10 11:00:00,35.8,6.1,5.9,4.6,34,70
122,2025-12-10 11:00:00,32.5,4.3,5.8,4.0,46,93
101,2025-12-10 12:00:00,32.5,6.3,6.3,5.2,40,85
102,2025-12-10 12:00:00,35.2,11.3,7.2,4.6,43,91
105,2025-12-10 12:00:00,26.5,11.9,6.0,7.9,32,85
106,2025-12-10 12:00:00,34.4,7.0,6.3,4.6,35,80
107,2025-12-10 12:00:00,31.2,6.1,5.2,4.2,39,78
109,2025-12-10 12:00:00,28.7,5.3,5.3,3.5,40,85
111,2025-12-10 12:00:00,25.3,7.9,6.4,5.0,42,82
112,2025-12-10 12:00:00,24.8,8.4,4.7,3.8,37,74
113,2025-12-10 12:00:00,27.4,8.5,6.5,4.0,39,95
119,2025-12-10 12:00:00,37.3,4.6,6.6,4.8,39,85
120,2025-12-10 12:00:00,34.4,7.6,5.5,4.3,39,74
121,2025-12-10 12:00:00,36.0,6.8,6.0,4.6,32,68
122,2025-12-10 12:00:00,33.2,4.7,5.5,4.0,48,95
101,2025-12-10 13:00:00,33.8,7.0,6.6,5.3,42,89
102,2025-12-10 13:00:00,36.2,11.7,7.2,4.5,47,102
105,2025-12-10 13:00:00,29.6,11.2,6.5,7.6,30,82
106,2025-12-10 13:00:00,36.2,7.1,6.3,4.9,41,91
107,2025-12-10 13:00:00,30.3,7.1,5.0,4.2,40,74
109,2025-12-10 13:00:00,31.0,6.2,5.6,3.8,44,91
111,2025-12-10 13:00:00,26.9,8.2,6.5,5.2,39,85
112,2025-12-10 13:00:00,25.3,10.1,5.3,3.9,40,76
113,2025-12-10 13:00:00,29.7,8.4,6.8,4.3,40,78
119,2025-12-10 13:00:00,37.0,6.2,6.7,4.9,40,89
120,2025-12-10 13:00:00,35.8,7.7,5.6,5.0,40,80
121,2025-12-10 13:00:00,35.8,7.0,5.6,4.2,35,76
122,2025-12-10 13:00:00,32.9,5.2,5.3,3.9,50,109
101,2025-12-10 14:00:00,39.4,7.4,7.0,5.5,41,89
102,2025-12-10 14:00:00,37.2,12.4,6.8,4.8,46,97
105,2025-12-10 14:00:00,32.8,10.0,6.8,6.8,39,89
106,2025-12-10 14:00:00,37.8,7.3,6.5,4.9,40,91
107,2025-12-10 14:00:00,29.9,8.4,4.8,4.5,39,72
109,2025-12-10 14:00:00,31.6,7.9,5.4,3.8,41,89
111,2025-12-10 14:00:00,29.1,8.0,6.7,5.2,41,80
112,2025-12-10 14:00:00,27.2,8.7,5.5,4.8,42,82
113,2025-12-10 14:00:00,29.2,10.4,6.7,4.3,40,91
119,2025-12-10 14:00:00,38.5,5.5,6.4,5.3,37,85
120,2025-12-10 14:00:00,35.8,9.2,5.4,5.5,40,74
121,2025-12-10 14:00:00,36.2,7.7,5.5,4.5,36,74
122,2025-12-10 14:00:00,32.7,6.4,5.2,3.9,50,93
101,2025-12-10 15:00:00,35.0,9.7,6.2,5.9,45,89
101,2025-12-10 15:00:00,44.2,6.7,6.6,6.0,46,89
102,2025-12-10 15:00:00,37.5,13.3,6.4,5.0,46,93
105,2025-12-10 15:00:00,34.6,9.6,6.9,6.6,44,93
106,2025-12-10 15:00:00,38.9,7.6,6.2,5.3,42,93
107,2025-12-10 15:00:00,29.3,10.5,4.8,5.3,41,70
109,2025-12-10 15:00:00,28.8,10.8,4.8,4.5,42,80
111,2025-12-10 15:00:00,31.8,7.6,7.2,5.3,45,95
112,2025-12-10 15:00:00,32.5,7.4,5.7,4.5,45,85
113,2025-12-10 15:00:00,31.1,10.3,6.7,4.3,47,87
119,2025-12-10 15:00:00,41.1,5.6,6.4,5.3,40,85
120,2025-12-10 15:00:00,35.2,11.2,5.2,5.0,40,76
121,2025-12-10 15:00:00,30.0,15.4,4.8,4.5,39,76
122,2025-12-10 15:00:00,33.5,7.1,5.0,3.9,51,95
102,2025-12-10 16:00:00,40.9,11.0,6.5,4.6,48,91
105,2025-12-10 16:00:00,40.3,6.2,7.3,5.6,41,91
106,2025-12-10 16:00:00,45.0,4.0,6.5,5.6,43,89
107,2025-12-10 16:00:00,33.0,8.9,4.6,4.6,43,72
109,2025-12-10 16:00:00,36.3,6.3,5.4,4.5,43,85
111,2025-12-10 16:00:00,36.0,5.5,7.2,5.0,49,95
112,2025-12-10 16:00:00,35.0,6.1,5.8,4.0,46,85
113,2025-12-10 16:00:00,36.7,7.1,7.3,4.3,47,97
119,2025-12-10 16:00:00,47.5,2.9,7.3,4.9,43,78
120,2025-12-10 16:00:00,26.0,20.6,4.4,4.6,40,65
121,2025-12-10 16:00:00,24.6,20.3,4.6,4.3,40,70
122,2025-12-10 16:00:00,38.9,4.5,5.2,3.9,53,95
101,2025-12-10 17:00:00,46.7,3.3,7.8,6.3,50,91
102,2025-12-10 17:00:00,43.8,9.0,6.9,4.8,50,93
105,2025-12-10 17:00:00,44.2,3.4,8.0,5.9,46,104
106,2025-12-10 17:00:00,49.7,2.5,7.8,5.5,49,89
107,2025-12-10 17:00:00,39.7,4.8,5.4,4.6,45,72
109,2025-12-10 17:00:00,41.7,2.5,6.3,4.5,45,91
111,2025-12-10 17:00:00,39.7,2.8,7.4,5.0,47,87
112,2025-12-10 17:00:00,39.4,3.3,6.5,4.3,47,89
113,2025-12-10 17:00:00,39.9,4.3,7.0,4.2,44,89
119,2025-12-10 17:00:00,34.4,12.7,6.0,4.9,46,82
120,2025-12-10 17:00:00,20.7,24.0,4.0,4.2,41,70
121,2025-12-10 17:00:00,20.1,22.8,4.2,4.2,43,74
122,2025-12-10 17:00:00,35.3,8.8,4.9,4.0,52,89
101,2025-12-10 18:00:00,48.9,2.4,9.2,6.0,46,89
102,2025-12-10 18:00:00,45.3,9.5,7.9,4.9,51,95
